"Offers","Offers"
"Label","Label"
"Content","Content"
"Categories","Categories"
"Redirect Url","Redirect Url"
"Start","Start"
"End","End"
"Image", "Image"
"Status","Status"
"Action","Action"
"Enabled","Enabled"
"Disabled","Disabled"
"Add New Offer","Add New Offer"
"Back","Back"
"Reset","Reset"
"Save Offer","Save Offer"
"Edit Offer","Edit Offer"
"Edit","Edit"
"Delete","Delete"
"See more","See more"
"Offer has been successfully saved","Offer has been successfully saved"
"An error occurred during saving process","An error occurred during saving process"
"Are you sure you want to delete this offer?","Are you sure you want to delete this offer?"
"Offer deleted","Offer deleted"
"An error occurred during deleting process","An error occurred during deleting process"
"A total of %1 record(s) have been deleted","A total of %1 record(s) have been deleted"
