"Offers","Offres"
"Label","Intitulé"
"Content","Contenu"
"Categories","Catégories"
"Redirect Url","Url de redirection"
"Start","Début"
"End","Fin"
"Image", "Image"
"Status","Statut"
"Action","Action"
"Enabled","Actif"
"Disabled","Inactif"
"Add New Offer","Ajout d'une nouvelle offre"
"Edit Offer","Edition d'une nouvelle offre"
"Back","Retour"
"Reset","Reset"
"Save Offer","Sauvegarder l'offre"
"Edit","Editer"
"Delete","Supprimer"
"See more","En savoir plus"
"Offer has been successfully saved","L'offre a été sauvegardée avec succès"
"An error occurred during saving process","Une erreur s'est produite lors du processus d'enregistrement"
"Are you sure you want to delete this offer?","Êtes-vous sûr de vouloir supprimer cette offre ?"
"Offer deleted","Offre supprimée"
"An error occurred during deleting process","Une erreur s'est produite lors du processus de suppression"
"A total of %1 record(s) have been deleted","Un total de %1 enregistrement(s) ont été supprimés"
